"","statefips","state","state_name","total","top_01","top_05","top_10","top_25","top_50","top_75","agi_01","agi_05","agi_10","agi_25","agi_50","agi_75","total_agi","sum_agi_01","sum_agi_05","sum_agi_10","sum_agi_25","sum_agi_50","sum_agi_75","total_sal_num","total_sal_amt","num_sal_01","sum_sal_01","num_sal_05","sum_sal_05","num_sal_10","sum_sal_10","num_sal_25","sum_sal_25","num_sal_50","sum_sal_50","num_sal_75","sum_sal_75","total_int_num","total_int_amt","num_int_01","sum_int_01","num_int_05","sum_int_05","num_int_10","sum_int_10","num_int_25","sum_int_25","num_int_50","sum_int_50","num_int_75","sum_int_75","total_div_num","total_div_amt","num_div_01","sum_div_01","num_div_05","sum_div_05","num_div_10","sum_div_10","num_div_25","sum_div_25","num_div_50","sum_div_50","num_div_75","sum_div_75","total_businc_num","total_businc_amt","num_businc_01","sum_businc_01","num_businc_05","sum_businc_05","num_businc_10","sum_businc_10","num_businc_25","sum_businc_25","num_businc_50","sum_businc_50","num_businc_75","sum_businc_75","total_cpgain_num","total_cpgain_amt","num_cpgain_01","sum_cpgain_01","num_cpgain_05","sum_cpgain_05","num_cpgain_10","sum_cpgain_10","num_cpgain_25","sum_cpgain_25","num_cpgain_50","sum_cpgain_50","num_cpgain_75","sum_cpgain_75","total_scorp_num","total_scorp_amt","num_scorp_01","sum_scorp_01","num_scorp_05","sum_scorp_05","num_scorp_10","sum_scorp_10","num_scorp_25","sum_scorp_25","num_scorp_50","sum_scorp_50","num_scorp_75","sum_scorp_75","total_tax","sum_tax_01","sum_tax_05","sum_tax_10","sum_tax_25","sum_tax_50","sum_tax_75","Year","avg_inc_1","avg_inc_5","avg_inc_10","avg_inc_25","avg_inc_50","avg_inc_75","avg_tax_rate_01","avg_tax_rate_5","avg_tax_rate_10","avg_tax_rate_25","avg_tax_rate_50","avg_tax_rate_75","true_sum_sal_10","true_sum_int_10","true_sum_div_10","true_sum_businc_10","true_sum_cpgain_10","true_sum_scorp_10","true_sum_sal_05","true_sum_int_05","true_sum_div_05","true_sum_businc_05","true_sum_cpgain_05","true_sum_scorp_05","true_sum_sal_25","true_sum_int_25","true_sum_div_25","true_sum_businc_25","true_sum_cpgain_25","true_sum_scorp_25","true_sum_sal_50","true_sum_int_50","true_sum_div_50","true_sum_businc_50","true_sum_cpgain_50","true_sum_scorp_50","true_sum_sal_75","true_sum_int_75","true_sum_div_75","true_sum_businc_75","true_sum_cpgain_75","true_sum_scorp_75","true_sum_agi_05","true_sum_agi_10","true_sum_agi_25","true_sum_agi_50","true_sum_agi_75","SalPerc01","SalPerc05","SalPerc10","SalPerc25","SalPerc50","SalPerc75","BusPerc01","BusPerc05","BusPerc10","BusPerc25","BusPerc50","BusPerc75","DivPerc01","DivPerc05","DivPerc10","DivPerc25","DivPerc50","DivPerc75","CapPerc01","CapPerc05","CapPerc10","CapPerc25","CapPerc50","CapPerc75","IntPerc01","IntPerc05","IntPerc10","IntPerc25","IntPerc50","IntPerc75","SCorpPerc01","ScorpPerc05","ScorpPerc10","ScorpPerc25","ScorpPerc50","ScorpPerc75"
"84",34,"NJ","New Jersey",4074099,40741,203705,407410,1018525,2037050,3055574,694522,282184,194406,109375,54345,25290,409472900,75611807,141443994,188431918,276363045,355998536,395332964,3382045,285795820,35454,33564817,184071,80649449,370310,116647811,911445,183312872,1776242,243348163,2653769,275433158,1401743,4123051,38937,1803021,173042,2397088,312677,2724573,648173,3291149,1033515,3781280,1239347,3984875,1034023,9771624,36052,3552848,156901,5552474,275616,6579770,535870,8092225,804243,9188208,935225,9563941,704589,14432958,10199,2094609,49908,5120450,94239,6854510,209730,9289814,356686,11320172,489333,12763342,859735,23832297,36253,15720294,150297,19390329,254782,20891370,469902,22598013,682962,23515001,784495,23764087,265671,25157705,24642,15697574,73290,21173211,107143,22738743,166355,24183971,218483,24904177,246433,25136143,60353200,20881391,33936038,41106414,51506395,58307886,60170135,2018,1855914.36145406,403967.667705751,230666.522667583,143886.383086653,78187.0754277018,38619.0487411195,0.276165744855165,0.198301888406047,0.152600400051724,0.118274169282511,0.0854077863348642,0.0473439959518415,35998362,327485,1027296,1734060,1501041,1565532,47084632,594067,1999626,3025841,3670035,5475637,66665061,566576,1512455,2435304,1706643,1445228,60035291,490131,1095983,2030358,916988,720206,32084995,203595,375733,1443170,249086,231966,65832187,46987924,87931127,79635491,39334428,0.443909732245918,0.715222053917182,0.766119439539402,0.758150876423999,0.753876070155705,0.815697510587926,0.027702141809678,0.045962942109154,0.0369043756859741,0.0276955849775473,0.0254956423888942,0.0366897416176994,0.0469880054579307,0.0303745947252216,0.0218629790922451,0.0172004505298789,0.0137624944134519,0.00955226805382806,0.207907926337483,0.0557483378153607,0.0319452504434969,0.0194088607553045,0.0115148156743329,0.0063325186780395,0.0238457599618007,0.00902395966277104,0.00696955668865047,0.00644340655385891,0.00615468045522567,0.00517600001708427,0.207607444165433,0.0831756812211024,0.0333177520249671,0.0164359089813554,0.00904378174801484,0.005897276553761
"85",35,"NM","New Mexico",870630,8706,43532,87063,217658,435315,652973,351093,169544,123819,72366,36092,18021,52699743,7290298,15113698,21352539,33629645,44857911,50618297,696698,34232205,6743,2144115,35158,6702868,71276,10868703,178154,19422321,359755,27964964,544885,32685726,235637,430794,7860,136069,33325,212213,58671,256000,115956,331146,173274,385897,203981,410744,124630,1120765,6223,432681,24366,677731,40312,796888,71866,963600,98964,1059150,112140,1095951,128027,1607864,2637,282010,10721,564303,19544,717521,41514,970700,69705,1202547,92778,1399699,113350,2813301,6542,1751937,24131,2247441,38832,2437447,67084,2661473,90986,2769533,102551,2801097,40351,2303647,4885,1549800,12930,1981508,18027,2101922,26731,2232397,33921,2295638,37465,2308976,5431908,1695199,2859064,3579542,4626843,5261822,5422222,2018,837387.778543533,224642.508470683,143319.496450805,94009.0049389333,51586.9740003767,26465.3079601944,0.232528080470785,0.148767160058287,0.115482667373636,0.0853052014049565,0.0565518308882244,0.027845356196616,4165835,43787,119157,153218,190006,120414,4558753,76144,245050,282293,495504,431708,8553618,75146,166712,253179,224026,130475,8542643,54751,95550,231847,108060,63241,4720762,24847,36801,197152,31564,13338,7823400,6238841,12277106,11228266,5760386,0.294105261540749,0.582707390648567,0.667725784324364,0.696712889829248,0.760815873083164,0.81952181676714,0.0386829180370953,0.036083160774088,0.0245587281355624,0.0206220423607974,0.0206485133145225,0.0342254841949828,0.0593502487826972,0.0313226985709538,0.0190992205122714,0.0135790959204881,0.00850977345923226,0.00638863437276599,0.240310752729175,0.0633361454099241,0.030455336175421,0.018247459946994,0.0096239259027173,0.00547949390891513,0.0186643947888001,0.00973285272387964,0.00701845102319485,0.00612082358823,0.0048761758939448,0.00431342621831245,0.212583902605902,0.0551816345834292,0.0193007002422405,0.0106275045601138,0.00563230333160971,0.002315469831362
"86",36,"NY","New York",9074289,90743,453714,907429,2268572,4537145,6805717,709741,242506,164056,91480,45749,21795,885641377,248601595,383022402,472048476,635855767,784331914,858680428,7453511,561573499,75077,84397524,395857,175024557,799674,240854374,1989851,363946602,3969337,481357759,5942118,543012295,3339242,14250443,88109,9696779,402244,11235860,750947,11911080,1608288,12928992,2504910,13690228,2964981,14011652,1926268,28749236,80468,16879405,331326,21621956,562278,23580759,1048244,26162584,1512554,27800106,1740253,28386186,1620565,29586219,23713,5704890,114414,11793609,208768,14491948,438225,18194271,733239,21469036,1032792,24808579,1630024,85410481,81628,68466850,320892,77498594,523969,80303248,927769,83313042,1303477,84809842,1485783,85258094,578354,62478975,61917,45536337,177088,56662440,249244,59099548,371704,61246761,475020,62222971,534218,62504767,140024094,67352749,93731212,106685733,125022805,136829070,139790588,2018,2739622.83592123,370334.839422433,196215.849156409,120345.394275252,65449.1378500934,32773.2661780186,0.270926455640801,0.196237945513897,0.145513785096263,0.111942953748011,0.0795162404099832,0.0398329144816533,65829817,675220,1958803,2698339,2804654,2437108,90627033,1539081,4742551,6088719,9031744,11126103,123092228,1017912,2581825,3702323,3009794,2147213,117411157,761236,1637522,3274765,1496800,976210,61654536,321424,586080,3339543,448252,281796,134420807,89026074,163807291,148476147,74348514,0.339489068845274,0.674203905054669,0.739444232933376,0.75144535538409,0.79077454104463,0.82926386396909,0.0229479219552071,0.0452959563023602,0.0303095360579419,0.0226016984799535,0.0220558323082023,0.0449174142202761,0.0678974123235211,0.0352813757471341,0.0220025764586676,0.0157613558238992,0.0110288556989561,0.00788287443108816,0.275407927290249,0.0671900742271247,0.0315037367591881,0.0183739928889978,0.0100810805657558,0.00602906468312198,0.039005296808333,0.0114497229584405,0.00758451956445928,0.00621408237561294,0.0051269918797125,0.00432320678258613,0.183169930989381,0.0827706904036069,0.027375215939546,0.0131081650083573,0.00657486080912377,0.00379020352713438
"87",37,"NC","North Carolina",4303476,43035,215174,430348,1075869,2151738,3227607,462850,199164,139722,80611,40586,20497,308853747,51137570,98986556,134379655,202086615,264125619,296287954,3566259,212602692,37444,21408793,188890,53430517,376102,78776647,928429,128245480,1855569,176611990,2782675,203343883,1315936,2190357,39885,764900,172454,1135201,312338,1348817,645888,1706946,984510,1974781,1162723,2096330,773846,7085349,35302,2651463,144687,4241384,244475,5041713,442914,6095183,616712,6724482,700976,6943496,780665,9220054,12521,1143543,54712,2770438,100477,3672198,223943,5112849,393665,6574169,542436,7707830,680956,18182416,36243,11748984,141230,14761600,231712,15978972,403887,17314234,550734,17940912,620318,18114002,250498,18123821,26198,11411818,76348,15454508,109597,16565863,165538,17556112,211459,18030279,233697,18138557,35819767,12704059,20449702,24818632,30816600,34678222,35731706,2018,1188278.61043337,277967.142832246,164485.946257447,104887.308081379,57664.0873563603,29894.2854566866,0.248429070837742,0.1618768472962,0.123440165553177,0.0885871703588523,0.0622450676351929,0.0327552088491087,25346130,213616,800329,901760,1217372,1111355,32021724,370301,1589921,1626895,3012616,4042690,49468833,358129,1053470,1440651,1335262,990249,48366510,267835,629299,1461320,626678,474167,26731893,121549,219014,1133661,173090,108278,47848986,35393099,67706960,62039004,32162335,0.41865096444747,0.669224714605237,0.716131978157663,0.730631429915034,0.779614547003366,0.831155231733019,0.0223620911200904,0.0340006160214137,0.0254784131787951,0.021277738654933,0.0235548591334574,0.0352480937717986,0.0518496088101175,0.0332278932723883,0.0226125720158045,0.0155592571280707,0.0101436025633165,0.00680964239692174,0.229752489216832,0.0629609162459576,0.0343957447749913,0.0197211926218516,0.0101013549476068,0.00538176099465415,0.0149576915758805,0.00773895187663956,0.00603552686923516,0.00528939713140274,0.00431720341609611,0.00377923431243409,0.223159176315965,0.0844885197776187,0.0314003303299324,0.0146255126503981,0.0076430466227343,0.00336660879877036
"88",38,"ND","North Dakota",333670,3337,16684,33367,83418,166835,250253,493941,203849,149428,96264,51888,27234,27024000,3917042,7744362,10606129,16526499,22516723,25741989,284443,17504136,2624,969042,13711,2891707,28475,4851802,73326,9310828,145680,13817112,219147,16486423,115765,268467,3152,110065,13776,154942,24192,176153,48805,206446,80144,239874,99163,255682,72859,471826,2532,187838,10397,278502,17853,318577,34128,377869,53166,433417,63959,456974,50937,706583,1041,77571,4522,216161,8132,293648,17986,427341,31349,573362,40292,645292,65693,1444996,2699,702530,10831,1010318,17791,1126786,32171,1274609,48956,1381694,58233,1421562,27707,1966495,2209,1186772,7692,1657202,11395,1784033,17712,1900594,23326,1960904,25867,1971614,3139911,978322,1599733,1956624,2510914,2951802,3116253,2018,1173821.39646389,286755.076047052,171537.912845411,118286.747517532,71810.5901674719,38663.9094679805,0.249760405938971,0.162361913819592,0.124710013079332,0.0936242160540642,0.0736012543103563,0.0509883525885927,1960095,21211,40075,77487,116468,126831,1922665,44877,90664,138590,307788,470430,4459026,30293,59292,133693,147823,116561,4506284,33428,55548,146021,107085,60310,2669311,15808,23557,71930,39868,10710,3827320,2861767,5920370,5990224,3225266,0.247391271270515,0.502352821295319,0.684924733564962,0.7531667784277,0.75227303686807,0.827625070304279,0.0198034639403918,0.0362107166372292,0.0270766278316858,0.0225818656604233,0.0243765508602016,0.0223020364831924,0.0479540428721469,0.0236886385251299,0.014003585896406,0.0100149146083775,0.00927310898557383,0.00730389369434955,0.179352174421413,0.0804186741636445,0.0406979324312566,0.0249685408175503,0.017876626984233,0.0123611509872364,0.0280990094055668,0.0117254371204916,0.00741185428443336,0.0051167410144974,0.00558042570695186,0.00490130116399702,0.302976582839806,0.122913683726472,0.0443191217174564,0.0196881276001331,0.010068070910203,0.00332065634276367
"89",39,"OH","Ohio",5162214,51622,258111,516221,1290554,2581107,3871661,420231,180485,130335,80275,43395,22392,360822062,56827498,108645935,147679851,226073718,302787544,344561985,4263324,247064428,44951,22200773,225308,56423528,452582,84891842,1125088,143309772,2219989,201653213,3312051,235238479,1482895,2515806,47735,937764,199126,1348466,346345,1563455,687128,1926196,1070041,2243438,1294037,2396866,1002714,8197825,42833,3532681,170345,5225845,283538,5983084,522714,7020166,766401,7742967,896597,8018223,754995,10954189,15941,1566197,65461,3788096,117086,4934203,248491,6763441,413547,8441902,545681,9573407,822354,19294803,42689,12720480,159629,15597930,256135,16736082,451249,18142876,643704,18945164,742644,19197375,247507,18727666,29660,12840517,82068,16499675,113846,17400785,166261,18227265,209693,18637235,231323,18741708,40914824,13951073,22088477,26707574,33671466,39012973,40744436,2018,1100838.75092015,250950.108722499,151229.770252993,101240.508928329,59442.6001876715,32369.3863255625,0.245498631665959,0.157036847715032,0.118335475231335,0.0888321021337039,0.069629000123133,0.0414479035159321,28468314,214989,757239,1146107,1138152,901110,34222755,410702,1693164,2221899,2877450,3659158,58417930,362741,1037082,1829238,1406794,826480,58343441,317242,722801,1678461,802288,409970,33585266,153428,275256,1131505,252211,104473,51818437,39033916,78393867,76713826,41774441,0.390669548745574,0.660435879221907,0.729322520446065,0.745184951776904,0.760533583607211,0.80396685619324,0.0275605482402199,0.0428785414735686,0.0293618247269887,0.0233339426922262,0.0218795110023583,0.027086059631534,0.0621649927294001,0.0326749338271241,0.0193995140021309,0.01322912160973,0.00942204342669599,0.0065891007374581,0.223843745505037,0.0555294633838531,0.0291580275983583,0.0179452048206781,0.0104581930250748,0.00603744763454764,0.0165019406625996,0.00792578903914064,0.00550774869731236,0.00462716043845624,0.00413539535884965,0.00367277206653705,0.225956050361394,0.0706149820767462,0.0230853086838635,0.0105426614559019,0.00534414748131582,0.00250088325538575
"90",40,"OK","Oklahoma",1521720,15217,76086,152172,380430,760860,1141290,428617,180281,130071,78374,40579,20694,104013208,16876251,32202350,43695782,66509270,88192363,99599547,1262105,69933516,12554,5282023,64591,14622242,131328,22871878,330033,40053118,658712,57193276,983976,66625364,445182,892697,13916,372029,59580,513983,106120,585504,212536,705969,323795,803753,387454,852565,216924,1898669,11094,903837,41961,1269682,68171,1429384,120010,1650569,168479,1801139,194489,1859279,272445,3011954,5474,376695,22405,930961,40105,1204752,87165,1661296,148094,2123343,198273,2526450,198659,5907705,11957,3917725,42953,4841680,67464,5172558,113967,5559849,156480,5783493,178918,5871809,95969,6087962,10125,3913238,29909,5215130,42129,5571757,62720,5907478,80178,6068710,88994,6099775,11196312,3988533,6324008,7653552,9530069,10793776,11162728,2018,1109039.29815338,251788.250176609,151058.433877454,99946.0610361959,56996.2752674605,29984.9748968273,0.23633999043982,0.152385483089989,0.115678589302134,0.0822547170340634,0.0582807535806815,0.0323438282401687,8249636,71521,159702,273791,330878,356627,9340219,141954,365845,554266,923955,1301892,17181240,120465,221185,456544,387291,335721,17140158,97784,150570,462047,223644,161232,9432088,48812,58140,403107,88316,31065,15326099,11493432,22813488,21683093,11407184,0.312985567706951,0.609432250176643,0.717769592233199,0.753117629360315,0.790484918364737,0.826855076590331,0.0223210119356485,0.0361648453399655,0.0238215182375465,0.0200120209588293,0.021309090912445,0.0353379940220128,0.0535567407713953,0.0238707188306692,0.013895066330057,0.00969536091982077,0.0069441200109228,0.00509678812930518,0.232144271852795,0.0602863781579383,0.0287884419553707,0.0169764044849258,0.0103142111690431,0.00774213863824762,0.0220445287285666,0.0092622395300983,0.00622277140544269,0.00528042884104351,0.00450968872383659,0.00427905782882086,0.231878395266816,0.0849460779288976,0.0310287649502777,0.0147158996467353,0.00743583952713757,0.00272328385340326
"91",41,"OR","Oregon",1834551,18346,91728,183455,458638,917276,1375913,472725,208235,149065,89410,46369,23504,141854464,21900265,43039211,58962641,90275312,120280145,135870816,1475463,91631658,15048,7384207,76363,20145657,152949,30859930,378558,52641379,755886,74705533,1144935,87240370,688155,1255286,17486,429205,80351,639335,149449,757325,318619,953322,503462,1116781,599821,1190222,375008,3461973,14168,1404239,60045,2041542,102844,2372604,192645,2855859,281955,3215741,329326,3357666,289015,4844436,4680,470878,22031,1356117,40911,1873121,91706,2786462,160209,3727746,214481,4349862,353896,9873044,15041,5687730,61377,7588689,102522,8346330,185494,9192124,267820,9671028,311441,9814602,120816,9185898,10894,5294171,33481,7472669,49020,8150608,75488,8779872,99254,9098174,111138,9181036,16547114,5227259,8663099,10689440,13684148,15796348,16469089,2018,1193735.14662597,288067.182687853,173595.887797486,113788.537082596,65421.6026583057,33993.487224101,0.238684737376466,0.162536012911902,0.127255308686633,0.0956388549542771,0.0703953259796513,0.0431502274661559,10714273,117990,331062,517004,757641,677939,12761450,210130,637303,885239,1900959,2178498,21781449,195997,483255,913341,845794,629264,22064154,163459,359882,941284,478904,318302,12534837,73441,141925,622116,143574,82862,21138946,15923430,31312671,30004833,15590671,0.337174321863229,0.603693769783981,0.672862128322855,0.69561133893688,0.7353533345778,0.80399599221868,0.0215010183666727,0.0418771588706457,0.032468130296048,0.0291684155593114,0.0313710794524335,0.0399030933306206,0.0641197264051371,0.0301482864850499,0.0207908723183384,0.0154332091312172,0.011994134411613,0.00910320024070805,0.25971055601382,0.0899268582265171,0.0475802637999476,0.0270112377190691,0.0159608953664231,0.00920896861975986,0.0195981646797425,0.0099404199244371,0.00740983569494763,0.0062593510467376,0.00544775569989008,0.00471057339353771,0.241740042871627,0.103056131559256,0.0425749351741428,0.0200961457424057,0.0106083576602476,0.00531484501212295
"92",42,"PA","Pennsylvania",5728431,57284,286422,572843,1432108,2864216,4296323,494648,209157,149114,88885,46151,22607,451863723,78621102,146047226,195877449,293390043,386366735,434530177,4660615,305513160,49546,30740374,251470,76368032,503642,112847025,1245919,184827875,2464203,255100011,3677994,293582203,1962886,5028801,53606,2669738,233790,3237919,420073,3553602,864259,4105037,1369046,4590021,1668184,4830007,1319034,11192066,49115,4616724,203061,6888739,344345,7940537,649683,9417469,969419,10485176,1148707,10905966,805175,14150320,16799,2051785,71337,5005683,127533,6554408,268527,8970103,450772,11221058,599596,12736674,1044639,29767197,48925,20655784,190779,24620490,310825,26203717,554173,28134515,797683,29261119,928853,29628568,303362,21553012,32635,13722134,92034,18387940,129467,19578736,193390,20734489,250600,21362982,281618,21552511,56314046,19940640,31406201,37889442,47285467,54079724,56135033,2018,1372479.26122477,294259.895783327,173975.452218936,113483.726207864,64922.9611174576,33631.1756034989,0.253629617147824,0.170046271679505,0.130106602171939,0.096357040814646,0.0730748411655687,0.0426736320049551,36478993,315683,1051798,1548725,1583227,1190796,45627658,568181,2272015,2953898,3964706,4665806,71980850,551435,1476932,2415695,1930798,1155753,70272136,484984,1067707,2250955,1126604,628493,38482192,239986,420790,1515616,367449,189529,67426124,49830223,97512594,92976692,48163442,0.390993934427426,0.676705930775437,0.732065618088845,0.738169779382548,0.755803787899875,0.798991733190497,0.026097128478306,0.0438093994547277,0.0310800334969402,0.0247731590444615,0.0242098847741324,0.0314681828595224,0.0587211814965402,0.0336963607755356,0.0211076318081097,0.0151460641073706,0.0114835984915445,0.00873670947354635,0.262725699265828,0.0588007401997481,0.0317724245384172,0.0198004987950582,0.0121170583268331,0.00762920972300941,0.0339570157640375,0.00842671899692766,0.00633517132764989,0.00565501313604682,0.00521618902079244,0.00498274188958505,0.174534999522138,0.0691987871051286,0.0238970634347753,0.0118523459646659,0.00675968338387432,0.00393512158038871
"93",44,"RI","Rhode Island",494698,4947,24735,49470,123675,247349,371024,450935,201027,147673,88035,45984,23043,37593245,5876000,11300863,15511317,23888920,31848304,36022888,414357,26065815,4272,2268329,21863,5887135,43989,8995689,108986,15236305,215769,21411126,324329,24906063,158612,354813,4611,153560,19574,203025,35000,230021,72867,279754,115069,321500,137708,339563,99254,836078,4108,334357,16401,509947,27863,587249,52782,707110,76873,788127,88749,816860,76529,1293607,1572,168619,6806,412306,12114,549865,25578,771334,41801,979111,55306,1132524,81311,2191353,4150,1401790,15701,1764983,25597,1907275,45755,2071555,64532,2156404,73642,2181164,26687,1900925,2993,1270010,8281,1633806,11553,1734599,17492,1839747,22366,1887600,24835,1901259,4554806,1458410,2353090,2899944,3735474,4351287,4536325,2018,1187790.58014959,274149.130786335,170222.518698201,112898.09312041,64357.779323059,33754.469375379,0.24819775357386,0.164922137204202,0.129880055689956,0.0997337782656925,0.077369429594049,0.0443248956063646,3108554,26996,77302,137559,142292,100793,3618806,49465,175590,243687,363193,363796,6240616,49733,119861,221469,164280,105148,6174821,41746,81017,207777,84849,47853,3494937,18063,28733,153413,24760,13659,5424863,4210454,8377603,7959384,4174584,0.386032845473111,0.667077859846415,0.738294255203833,0.744916654560976,0.775791317519044,0.837194077302074,0.0286962219196732,0.0449203970680919,0.0326708236213957,0.0264358432835741,0.0261046583504452,0.0367492904682239,0.0569021443158611,0.0323676376712186,0.0183595403251051,0.014307314395299,0.0101788027817228,0.00688284149989556,0.238561946902655,0.0669497091447286,0.0337949304279301,0.0196094276608715,0.0106602470743967,0.00593112990420123,0.0261334240980259,0.009118202616361,0.00641166012026257,0.00593642358082616,0.0052448782468593,0.00432689820111417,0.216135125936011,0.0670608640255063,0.023938748648008,0.0125510841227497,0.00601214867884248,0.00327194278519728
"94",45,"SC","South Carolina",2102308,21023,105115,210231,525577,1051154,1576731,423744,184484,132484,77713,39187,20073,142345800,22381658,43840424,60057067,91809796,121028553,136263026,1729905,93310321,17610,7792041,88668,20804850,177492,31699303,440708,53818452,886315,76071404,1337568,88720714,533407,991398,19194,356393,79141,543189,138497,638811,272156,791818,402362,903322,471974,953400,354704,3192970,16542,1171689,65436,1935742,110332,2290435,201972,2754817,282313,3031049,321926,3129879,362904,4148397,6618,620863,27100,1423095,48947,1817655,106837,2484888,184791,3106194,251652,3502045,310279,8221634,17261,5288184,64505,6709149,105001,7245116,183707,7840248,250848,8121406,283036,8193400,116217,8932837,13573,5953370,38359,7746573,53698,8229809,79252,8689342,99476,8892677,108910,8938424,15506800,5328485,8630115,10538762,13222910,14986613,15466214,2018,1064627.21780907,255182.014936022,154273.783248982,100691.713229278,55593.6751417965,28986.1866101447,0.238073738773061,0.153859266651214,0.117696800749699,0.0845328286586013,0.0603620133464267,0.0314812990249154,10894453,95622,354693,394560,535967,483236,13012809,186796,764053,802232,1420965,1793203,22119149,153007,464382,667233,595132,459533,22252952,111504,276232,621306,281158,203335,12649310,50078,98830,395851,71994,45747,21458766,16216643,31752729,29218757,15234473,0.348144047237251,0.606409939881911,0.671806920828189,0.69660623501054,0.761598174761507,0.830308340826755,0.0277398126626723,0.0373848151380187,0.0243305596602207,0.0210134064382309,0.021263943568852,0.0259838984912704,0.0523504112161843,0.0356056354778276,0.0218721593612192,0.0146249476698523,0.00945392714686665,0.00648726083271801,0.236273112563868,0.0662183929868101,0.0330504285011392,0.0187427039735703,0.00962251748080865,0.00472572960022969,0.0159234405243794,0.00870488079323853,0.00589653481303128,0.0048187039293536,0.00381617876489407,0.00328715013640446,0.265993252153169,0.0835650568164078,0.0297987690793958,0.0144722363863591,0.00695905715633283,0.0030028606831362
"95",46,"SD","South Dakota",380552,3806,19028,38055,95138,190276,285414,460683,185567,134001,85759,46194,24534,29068842,5382263,9417146,12367691,18400930,24464518,27775200,315835,17418595,3164,1279401,15609,3294535,31529,5131590,80017,9288794,160358,13696328,243058,16412097,140473,343228,3625,122819,16099,187612,29015,216691,60887,263466,98667,307030,120689,326748,83382,603629,3019,216490,12393,349533,21329,409946,41169,492663,62376,558288,73518,583501,60952,804932,1152,65060,5089,215767,9400,302146,21361,466692,37828,646144,48412,731384,80078,2503212,3204,1496599,12781,1908074,21398,2073838,39950,2285201,59965,2425881,70679,2474583,35372,2583240,2816,1706167,9691,2259484,14427,2399284,22466,2525513,29646,2578842,32868,2591098,3240558,1273904,1889182,2222774,2701023,3079065,3222863,2018,1414152.1282186,265069.176192353,155071.477374258,105692.39528406,63734.6591267422,34798.7344699279,0.236685572592792,0.15248967566098,0.113061146330593,0.0792690294549909,0.0623462543959121,0.0434345551762447,1837055,29079,60413,86379,165764,139800,2015134,64793,133043,150707,411475,553317,4157204,46775,82717,164546,211363,126229,4407534,43564,65625,179452,140680,53329,2715769,19718,25213,85240,48702,12256,4034883,2950545,6033239,6063588,3310682,0.237706890205848,0.499428112289749,0.622615482902311,0.689050110562502,0.726885467812127,0.820305000601085,0.0120878522658592,0.0373510210828914,0.029275608404549,0.0272732441065239,0.0295950186589194,0.0257469608980869,0.0402228579316916,0.0329731989750384,0.0204752003443432,0.0137102143641251,0.0108227999659607,0.00761565139750662,0.278061291319283,0.101979413033786,0.0561808072745883,0.0350330891913945,0.0232007847498874,0.0147105641677455,0.0228192119188527,0.0160582103619857,0.00985546737975527,0.00775288365005928,0.00718452506997507,0.00595587253623272,0.316998073115342,0.137133344386938,0.0473810770552559,0.020922260828719,0.00879495770491003,0.00370195627366204
"96",47,"TN","Tennessee",2827434,28274,141372,282743,706859,1413717,2120576,449871,184116,130062,76466,39603,20179,199132378,38060591,67641075,89203362,131028106,170197241,190944162,2352071,135537300,22766,14929092,118812,33963503,241526,49509976,608356,80864423,1223440,112067889,1833991,129497489,767311,1705341,25990,808784,108475,1063991,190474,1192912,377066,1399925,565128,1560261,671985,1640283,410313,3845482,22121,1812669,84502,2616634,137130,2966563,237660,3407372,326197,3674579,371996,3777960,543048,10279794,10897,2429602,45178,4857632,78987,5871444,164261,7308111,275589,8515684,374594,9200913,367181,13862852,22998,10195905,83744,12013626,131614,12671802,219935,13377743,296067,13719533,334811,13822147,117497,9096323,16718,6229481,44060,8069476,59405,8489013,82715,8887840,100812,9062883,109978,9105065,23467405,9551746,14253866,16821922,20361917,22726193,23410167,2018,1346133.9393082,261547.366001167,152522.702675938,98616.2842241274,55413.0178904391,29350.862053111,0.25096157860502,0.158960211739605,0.119099425770559,0.0846387726844186,0.0603606896093059,0.0329674943091556,15546473,128921,349929,1013812,658176,419537,19034411,255207,803965,2428030,1817721,1839995,31354447,207013,440809,1436667,705941,398827,31203466,160336,267207,1207573,341790,175043,17429600,80022,103381,685229,102614,42182,29580484,21562287,41824744,39169135,20746921,0.392245406804114,0.643478686826084,0.721002971530803,0.749662615986364,0.796634033404108,0.84010538238421,0.063835109654498,0.0820821593047632,0.0470178325703577,0.0343496902216544,0.030829708136266,0.0330279852128419,0.047625876329666,0.0271788994392384,0.0162287516161899,0.0105394309167798,0.00682187645961546,0.00498295626613703,0.267886145015457,0.061450008728728,0.0305244058758702,0.0168785492147902,0.00872600326762386,0.00494598692499962,0.0212499064977735,0.008627546459348,0.00597900398969738,0.0049495341800538,0.00409342713337938,0.00385705425879821,0.163672734351392,0.0622030051976161,0.0194569806069273,0.00953567103722141,0.0044689013428558,0.00203316916278806
